Sales Person,Product,Date,Sales,Boxes,Expenses,Category,Team,,,
Kaine Padly,85% Dark Bars,13-Aug-21,2121,89,74,Bars,Delish,,,
Karlen McCaffrey,Milk Bars,14-Aug-21,6881,222,389,Bars,Yummies,,,
Roddy Speechley,Drinking Coco,14-Aug-21,1239,50,114,Other,Delish,,,
Marney O'Breen,Mint Chip Choco,14-Aug-21,3598,257,652,Bars,Yummies,,,
Madelene Upcott,Smooth Sliky Salty,14-Aug-21,6580,347,1899,Bars,Jucies,,,
Ches Bonnell,Spicy Special Slims,14-Aug-21,1127,54,562,Bites,Tempo,,,
Jehu Rudeforth,Peanut Butter Cubes,14-Aug-21,3605,139,733,Bites,Tempo,,,
Andria Kimpton,After Nines,14-Aug-21,5096,196,1218,Bites,Jucies,,,
Camilla Castle,99% Dark & Pure,14-Aug-21,2135,98,466,Bars,Tempo,,,
Jan Morforth,Raspberry Choco,14-Aug-21,35,3,19,Bars,Delish,,,
Husein Augar,70% Dark Bites,14-Aug-21,13090,935,7707,Bites,Yummies,,,
Gigi Bohling,Smooth Sliky Salty,14-Aug-21,15785,1128,5209,Bars,Delish,,,
Oby Sorrel,Fruit & Nut Bars,14-Aug-21,14574,810,1355,Bars,Jucies,,,
Husein Augar,Caramel Stuffed Bars,14-Aug-21,3556,143,132,Bars,Yummies,,,
Dennison Crosswaite,Fruit & Nut Bars,14-Aug-21,14532,969,1529,Bars,Yummies,,,
Van Tuxwell,Caramel Stuffed Bars,14-Aug-21,4445,159,157,Bars,Yummies,,,
Rafaelita Blaksland,Milk Bars,14-Aug-21,10339,357,599,Bars,Yummies,,,
Gunar Cockshoot,After Nines,14-Aug-21,1351,55,408,Bites,Yummies,,,
Dennison Crosswaite,Baker's Choco Chips,14-Aug-21,4011,335,2404,Bars,Yummies,,,
Rafaelita Blaksland,Fruit & Nut Bars,14-Aug-21,5306,483,924,Bars,Yummies,,,
Roddy Speechley,After Nines,14-Aug-21,18704,585,4192,Bites,Delish,,,
Mallorie Waber,Smooth Sliky Salty,14-Aug-21,9310,582,2717,Bars,Tempo,,,
Wilone O'Kielt,Eclairs,14-Aug-21,1211,61,203,Bites,Delish,,,
Andria Kimpton,Raspberry Choco,15-Aug-21,3094,148,894,Bars,Jucies,,,
Rafaelita Blaksland,Raspberry Choco,15-Aug-21,4949,248,1709,Bars,Yummies,,,
Curtice Advani,99% Dark & Pure,15-Aug-21,308,19,100,Bars,Delish,,,
Husein Augar,Caramel Stuffed Bars,15-Aug-21,7546,329,337,Bars,Yummies,,,
Karlen McCaffrey,85% Dark Bars,15-Aug-21,6713,373,296,Bars,Yummies,,,
Dotty Strutley,Caramel Stuffed Bars,15-Aug-21,6895,300,259,Bars,Delish,,,
Dennison Crosswaite,Mint Chip Choco,15-Aug-21,3430,202,481,Bars,Yummies,,,
Mallorie Waber,White Choc,18-Aug-21,4165,348,93,Other,Tempo,,,
Camilla Castle,Almond Choco,18-Aug-21,2380,159,2398,Bars,Tempo,,,
Gunar Cockshoot,White Choc,18-Aug-21,6594,413,119,Other,Yummies,,,
Wilone O'Kielt,Raspberry Choco,18-Aug-21,1428,76,528,Bars,Delish,,,
Beverie Moffet,Drinking Coco,18-Aug-21,2646,116,333,Other,Jucies,,,
Brien Boise,Milk Bars,18-Aug-21,238,11,22,Bars,Jucies,,,
Roddy Speechley,Raspberry Choco,18-Aug-21,945,50,339,Bars,Delish,,"₹ 70,47,511.00",
Husein Augar,Spicy Special Slims,18-Aug-21,9436,337,3227,Bites,Yummies,,,
Rafaelita Blaksland,Spicy Special Slims,18-Aug-21,4081,152,1470,Bites,Yummies,,,
Wilone O'Kielt,99% Dark & Pure,18-Aug-21,10556,587,3173,Bars,Delish,,,
Barr Faughny,White Choc,18-Aug-21,2331,167,43,Other,Yummies,,,
Husein Augar,Organic Choco Syrup,19-Aug-21,896,32,68,Other,Yummies,,,
Oby Sorrel,Manuka Honey Choco,19-Aug-21,4214,169,1547,Other,Jucies,,,
Oby Sorrel,Orange Choco,19-Aug-21,2121,177,1866,Bars,Jucies,,,
Van Tuxwell,85% Dark Bars,19-Aug-21,1029,47,34,Bars,Yummies,,,
Ches Bonnell,Mint Chip Choco,19-Aug-21,15407,771,2061,Bars,Tempo,,,
Gunar Cockshoot,Caramel Stuffed Bars,19-Aug-21,10129,406,376,Bars,Yummies,,,
Jan Morforth,Smooth Sliky Salty,19-Aug-21,16380,1092,5811,Bars,Delish,,,
Roddy Speechley,White Choc,19-Aug-21,3899,279,68,Other,Delish,,,
Gigi Bohling,Spicy Special Slims,19-Aug-21,12075,432,3819,Bites,Delish,,,
Husein Augar,Manuka Honey Choco,19-Aug-21,10696,428,3850,Other,Yummies,,,
Beverie Moffet,Almond Choco,19-Aug-21,4039,238,3781,Bars,Jucies,,,
Madelene Upcott,Peanut Butter Cubes,19-Aug-21,5250,202,856,Bites,Jucies,,,
Mallorie Waber,99% Dark & Pure,19-Aug-21,8113,508,2367,Bars,Tempo,,,
Ches Bonnell,Eclairs,19-Aug-21,161,10,32,Bites,Tempo,,,
Kaine Padly,Spicy Special Slims,19-Aug-21,8218,294,3168,Bites,Delish,,,
Curtice Advani,Baker's Choco Chips,19-Aug-21,742,53,335,Bars,Delish,,,
Gunar Cockshoot,After Nines,19-Aug-21,3087,111,788,Bites,Yummies,,,
Ches Bonnell,Manuka Honey Choco,19-Aug-21,5110,155,1272,Other,Tempo,,,
Wilone O'Kielt,Raspberry Choco,19-Aug-21,5873,267,1465,Bars,Delish,,,
Husein Augar,Mint Chip Choco,19-Aug-21,4641,357,938,Bars,Yummies,,,
Wilone O'Kielt,Peanut Butter Cubes,20-Aug-21,1155,45,252,Bites,Delish,,,
Brien Boise,50% Dark Bites,20-Aug-21,784,49,159,Bites,Jucies,,,
Camilla Castle,Mint Chip Choco,20-Aug-21,5369,384,809,Bars,Tempo,,,
Brien Boise,Eclairs,20-Aug-21,343,18,50,Bites,Jucies,,,
Brien Boise,70% Dark Bites,20-Aug-21,7007,584,4910,Bites,Jucies,,,
Kelci Walkden,Baker's Choco Chips,20-Aug-21,126,13,79,Bars,Yummies,,,
Marney O'Breen,99% Dark & Pure,20-Aug-21,3073,134,681,Bars,Yummies,,,
Beverie Moffet,Choco Coated Almonds,21-Aug-21,7805,488,6492,Bites,Jucies,,,
Andria Kimpton,After Nines,21-Aug-21,3087,124,779,Bites,Jucies,,,
Jan Morforth,Choco Coated Almonds,21-Aug-21,9030,452,6117,Bites,Delish,,,
Wilone O'Kielt,Smooth Sliky Salty,21-Aug-21,7805,411,2393,Bars,Delish,,,
Madelene Upcott,After Nines,21-Aug-21,6979,233,1655,Bites,Jucies,,,
Beverie Moffet,Drinking Coco,21-Aug-21,11284,513,1360,Other,Jucies,,,
Rafaelita Blaksland,Milk Bars,21-Aug-21,2408,90,175,Bars,Yummies,,,
Gunar Cockshoot,50% Dark Bites,21-Aug-21,5299,332,958,Bites,Yummies,,,
Brien Boise,Organic Choco Syrup,21-Aug-21,6293,234,392,Other,Jucies,,,
Ches Bonnell,Almond Choco,21-Aug-21,280,17,254,Bars,Tempo,,,
Gigi Bohling,85% Dark Bars,21-Aug-21,644,30,24,Bars,Delish,,,
Kaine Padly,Choco Coated Almonds,21-Aug-21,2191,110,1413,Bites,Delish,,,
Marney O'Breen,Choco Coated Almonds,21-Aug-21,427,26,355,Bites,Yummies,,,
Dotty Strutley,Smooth Sliky Salty,21-Aug-21,5537,426,2053,Bars,Delish,,,
Madelene Upcott,99% Dark & Pure,21-Aug-21,742,31,149,Bars,Jucies,,,
Van Tuxwell,85% Dark Bars,21-Aug-21,4200,248,181,Bars,Yummies,,,
Ches Bonnell,Baker's Choco Chips,21-Aug-21,5299,442,2473,Bars,Tempo,,,
Ches Bonnell,Caramel Stuffed Bars,21-Aug-21,3829,160,130,Bars,Tempo,,,
Oby Sorrel,Manuka Honey Choco,21-Aug-21,5747,192,1530,Other,Jucies,,,
Curtice Advani,85% Dark Bars,21-Aug-21,2345,147,115,Bars,Delish,,,
Karlen McCaffrey,Orange Choco,22-Aug-21,4312,616,5305,Bars,Yummies,,,
Camilla Castle,85% Dark Bars,22-Aug-21,1358,68,51,Bars,Tempo,,,
Barr Faughny,Orange Choco,22-Aug-21,13146,1644,14301,Bars,Yummies,,,
Gigi Bohling,White Choc,22-Aug-21,12047,927,203,Other,Delish,,,
Ches Bonnell,Smooth Sliky Salty,22-Aug-21,5971,460,2679,Bars,Tempo,,,
Marney O'Breen,50% Dark Bites,22-Aug-21,3038,254,711,Bites,Yummies,,,
Oby Sorrel,Organic Choco Syrup,22-Aug-21,8022,268,430,Other,Jucies,,,
Marney O'Breen,Baker's Choco Chips,22-Aug-21,2226,248,1418,Bars,Yummies,,,
Brien Boise,Caramel Stuffed Bars,22-Aug-21,2366,79,84,Bars,Jucies,,,
Roddy Speechley,50% Dark Bites,22-Aug-21,8386,599,1610,Bites,Delish,,,
Gunar Cockshoot,Organic Choco Syrup,22-Aug-21,13230,576,1025,Other,Yummies,,,
Rafaelita Blaksland,Almond Choco,22-Aug-21,1771,111,1378,Bars,Yummies,,,
Jan Morforth,Raspberry Choco,22-Aug-21,3416,228,1585,Bars,Delish,,,
Rafaelita Blaksland,85% Dark Bars,22-Aug-21,15197,634,485,Bars,Yummies,,,
Ches Bonnell,Baker's Choco Chips,22-Aug-21,5971,498,3604,Bars,Tempo,,,
Dennison Crosswaite,Orange Choco,22-Aug-21,13335,1667,14648,Bars,Yummies,,,
Van Tuxwell,Choco Coated Almonds,22-Aug-21,4613,210,2529,Bites,Yummies,,,
Karlen McCaffrey,Fruit & Nut Bars,22-Aug-21,10430,580,989,Bars,Yummies,,,
Oby Sorrel,Almond Choco,22-Aug-21,168,10,144,Bars,Jucies,,,
Camilla Castle,99% Dark & Pure,22-Aug-21,4606,192,1011,Bars,Tempo,,,
Husein Augar,White Choc,22-Aug-21,1491,136,34,Other,Yummies,,,
Dennison Crosswaite,99% Dark & Pure,25-Aug-21,12194,509,2609,Bars,Yummies,,,
Karlen McCaffrey,Raspberry Choco,25-Aug-21,10122,533,3901,Bars,Yummies,,,
Andria Kimpton,99% Dark & Pure,25-Aug-21,1841,88,402,Bars,Jucies,,,
Marney O'Breen,Orange Choco,25-Aug-21,6958,580,4893,Bars,Yummies,,,
Kaine Padly,99% Dark & Pure,25-Aug-21,749,35,152,Bars,Delish,,,
Marney O'Breen,Raspberry Choco,25-Aug-21,3507,195,1320,Bars,Yummies,,,
Rafaelita Blaksland,Baker's Choco Chips,25-Aug-21,7294,562,3623,Bars,Yummies,,,
Brien Boise,Fruit & Nut Bars,25-Aug-21,5040,420,756,Bars,Jucies,,,
Brien Boise,Organic Choco Syrup,25-Aug-21,3913,157,271,Other,Jucies,,,
Andria Kimpton,50% Dark Bites,25-Aug-21,3598,300,764,Bites,Jucies,,,
Beverie Moffet,Spicy Special Slims,25-Aug-21,8911,319,3437,Bites,Jucies,,,
Ches Bonnell,Peanut Butter Cubes,25-Aug-21,42,2,11,Bites,Tempo,,,
Jan Morforth,Choco Coated Almonds,25-Aug-21,2282,109,1338,Bites,Delish,,,
Van Tuxwell,99% Dark & Pure,25-Aug-21,12964,541,3000,Bars,Yummies,,,
Andria Kimpton,Smooth Sliky Salty,25-Aug-21,5775,361,2012,Bars,Jucies,,,
Marney O'Breen,Spicy Special Slims,25-Aug-21,10787,400,3757,Bites,Yummies,,,
Oby Sorrel,Choco Coated Almonds,25-Aug-21,6342,374,4933,Bites,Jucies,,,
Dotty Strutley,Peanut Butter Cubes,25-Aug-21,11564,463,2506,Bites,Delish,,,
Gunar Cockshoot,Raspberry Choco,25-Aug-21,2793,156,1047,Bars,Yummies,,,
Madelene Upcott,70% Dark Bites,25-Aug-21,1603,134,1226,Bites,Jucies,,,
Curtice Advani,Almond Choco,25-Aug-21,3052,180,2307,Bars,Delish,,,
Karlen McCaffrey,Choco Coated Almonds,25-Aug-21,1659,83,961,Bites,Yummies,,,
Barr Faughny,Mint Chip Choco,25-Aug-21,3143,210,561,Bars,Yummies,,,
Dennison Crosswaite,Choco Coated Almonds,25-Aug-21,12782,609,6356,Bites,Yummies,,,
Mallorie Waber,70% Dark Bites,25-Aug-21,343,32,277,Bites,Tempo,,,
Brien Boise,White Choc,25-Aug-21,1785,138,39,Other,Jucies,,,
Brien Boise,Orange Choco,25-Aug-21,4914,615,5728,Bars,Jucies,,,
Madelene Upcott,White Choc,26-Aug-21,1869,208,46,Other,Jucies,,,
Wilone O'Kielt,Spicy Special Slims,26-Aug-21,8512,387,3493,Bites,Delish,,,
Van Tuxwell,Orange Choco,26-Aug-21,9296,716,6795,Bars,Yummies,,,
Oby Sorrel,Drinking Coco,26-Aug-21,6034,263,593,Other,Jucies,,,
Jehu Rudeforth,After Nines,26-Aug-21,9471,365,2662,Bites,Tempo,,,
Kelci Walkden,Peanut Butter Cubes,26-Aug-21,3815,166,820,Bites,Yummies,,,
Barr Faughny,Eclairs,26-Aug-21,9485,527,1590,Bites,Yummies,,,
Marney O'Breen,Organic Choco Syrup,26-Aug-21,3549,132,209,Other,Yummies,,,
Wilone O'Kielt,Orange Choco,26-Aug-21,1512,117,1049,Bars,Delish,,,
Jan Morforth,Organic Choco Syrup,26-Aug-21,2296,96,188,Other,Delish,,,
Husein Augar,Milk Bars,27-Aug-21,17402,697,1508,Bars,Yummies,,,
Kelci Walkden,Fruit & Nut Bars,27-Aug-21,11816,844,1318,Bars,Yummies,,,
Rafaelita Blaksland,Organic Choco Syrup,27-Aug-21,10612,425,876,Other,Yummies,,,
Barr Faughny,Milk Bars,27-Aug-21,5558,192,412,Bars,Yummies,,,
Mallorie Waber,Raspberry Choco,27-Aug-21,14056,781,5430,Bars,Tempo,,,
Andria Kimpton,Organic Choco Syrup,27-Aug-21,5131,166,278,Other,Jucies,,,
Marney O'Breen,99% Dark & Pure,27-Aug-21,1477,87,381,Bars,Yummies,,,
Curtice Advani,Raspberry Choco,27-Aug-21,7686,549,3448,Bars,Delish,,,
Van Tuxwell,85% Dark Bars,27-Aug-21,8722,460,288,Bars,Yummies,,,
Ches Bonnell,Organic Choco Syrup,27-Aug-21,6370,206,334,Other,Tempo,,,
Gunar Cockshoot,85% Dark Bars,27-Aug-21,4074,240,162,Bars,Yummies,,,
Roddy Speechley,After Nines,27-Aug-21,1309,51,362,Bites,Delish,,,
Kaine Padly,Smooth Sliky Salty,27-Aug-21,4991,357,1953,Bars,Delish,,,
Wilone O'Kielt,Peanut Butter Cubes,27-Aug-21,6965,367,1589,Bites,Delish,,,
Kelci Walkden,Manuka Honey Choco,27-Aug-21,10199,408,2898,Other,Yummies,,,
Karlen McCaffrey,Choco Coated Almonds,27-Aug-21,7392,390,5010,Bites,Yummies,,,
Barr Faughny,Fruit & Nut Bars,27-Aug-21,5880,392,743,Bars,Yummies,,,
Wilone O'Kielt,After Nines,27-Aug-21,5950,238,1630,Bites,Delish,,,
Dotty Strutley,Organic Choco Syrup,27-Aug-21,10395,336,640,Other,Delish,,,
Jehu Rudeforth,Drinking Coco,27-Aug-21,6174,247,698,Other,Tempo,,,
Wilone O'Kielt,70% Dark Bites,27-Aug-21,15239,1524,12060,Bites,Delish,,,
Mallorie Waber,Orange Choco,27-Aug-21,2219,247,2192,Bars,Tempo,,,
Rafaelita Blaksland,70% Dark Bites,27-Aug-21,3150,243,2143,Bites,Yummies,,,
Rafaelita Blaksland,Baker's Choco Chips,27-Aug-21,2968,212,1199,Bars,Yummies,,,
Dennison Crosswaite,Mint Chip Choco,27-Aug-21,3241,163,380,Bars,Yummies,,,
Kelci Walkden,Drinking Coco,27-Aug-21,3605,151,344,Other,Yummies,,,
Oby Sorrel,99% Dark & Pure,28-Aug-21,3640,174,803,Bars,Jucies,,,
Husein Augar,99% Dark & Pure,28-Aug-21,1309,77,431,Bars,Yummies,,,
Jan Morforth,Eclairs,28-Aug-21,10346,739,2188,Bites,Delish,,,
Kelci Walkden,Raspberry Choco,28-Aug-21,1071,54,369,Bars,Yummies,,,
Husein Augar,70% Dark Bites,28-Aug-21,6328,791,7563,Bites,Yummies,,,
Kaine Padly,After Nines,28-Aug-21,1820,68,453,Bites,Delish,,,
Andria Kimpton,Choco Coated Almonds,28-Aug-21,3437,157,2143,Bites,Jucies,,,
Rafaelita Blaksland,White Choc,28-Aug-21,4550,455,108,Other,Yummies,,,
Barr Faughny,Drinking Coco,28-Aug-21,2968,110,264,Other,Yummies,,,
Dotty Strutley,Eclairs,28-Aug-21,12565,898,2861,Bites,Delish,,,
Rafaelita Blaksland,Milk Bars,28-Aug-21,8246,318,664,Bars,Yummies,,,
Andria Kimpton,Mint Chip Choco,28-Aug-21,1190,70,151,Bars,Jucies,,,
Roddy Speechley,Eclairs,28-Aug-21,3283,183,531,Bites,Delish,,,
Ches Bonnell,Manuka Honey Choco,28-Aug-21,3087,115,989,Other,Tempo,,,
Oby Sorrel,Choco Coated Almonds,28-Aug-21,6531,297,3577,Bites,Jucies,,,
Marney O'Breen,White Choc,28-Aug-21,4228,249,65,Other,Yummies,,,
Roddy Speechley,Caramel Stuffed Bars,28-Aug-21,10094,389,406,Bars,Delish,,,
Mallorie Waber,Milk Bars,28-Aug-21,182,6,13,Bars,Tempo,,,
Jehu Rudeforth,White Choc,28-Aug-21,616,37,10,Other,Tempo,,,
Roddy Speechley,Smooth Sliky Salty,29-Aug-21,12131,809,3939,Bars,Delish,,,
Kaine Padly,Drinking Coco,29-Aug-21,2394,93,253,Other,Delish,,,
Karlen McCaffrey,White Choc,29-Aug-21,14287,841,227,Other,Yummies,,,
Husein Augar,Almond Choco,29-Aug-21,10941,730,10329,Bars,Yummies,,,
Roddy Speechley,Drinking Coco,29-Aug-21,7777,260,612,Other,Delish,,,
Curtice Advani,Orange Choco,29-Aug-21,9436,858,8218,Bars,Delish,,,
Kaine Padly,Fruit & Nut Bars,29-Aug-21,1267,116,205,Bars,Delish,,,
Kaine Padly,After Nines,29-Aug-21,8806,327,1908,Bites,Delish,,,
Curtice Advani,Choco Coated Almonds,29-Aug-21,3640,243,2620,Bites,Delish,,,
Kaine Padly,Caramel Stuffed Bars,29-Aug-21,4900,182,162,Bars,Delish,,,
Madelene Upcott,White Choc,29-Aug-21,5558,348,90,Other,Jucies,,,
Camilla Castle,Almond Choco,29-Aug-21,9142,436,5878,Bars,Tempo,,,
Dennison Crosswaite,Mint Chip Choco,29-Aug-21,3514,235,623,Bars,Yummies,,,
Beverie Moffet,50% Dark Bites,29-Aug-21,140,10,30,Bites,Jucies,,,
Kelci Walkden,Spicy Special Slims,01-Sep-21,11844,439,4528,Bites,Yummies,,,
Gunar Cockshoot,Milk Bars,01-Sep-21,6517,233,413,Bars,Yummies,,,
Kaine Padly,Milk Bars,01-Sep-21,8715,282,505,Bars,Delish,,,
Gigi Bohling,Organic Choco Syrup,01-Sep-21,4851,180,336,Other,Delish,,,
